INCLUIDO/ RDC 35/2012 CAP V ART 10
INCLUIDO/ RDC 35/2012 CAP V ART 11-I
INCLUIDO/RDC 35/2012 CAP V ART 11-II
INCLUIDO/ RDC 35/2012 CAP V ART 11-III
LISTA DE MEDICAMENTOS DE REFERÊNCIA,"","","","",""
FÁRMACO,DETENTOR,"",NOME COMERCIAL,CONCENTRAÇÃO,FORMA FARMACÊUTICA,DATA INCLUSÃO
Etoricoxib,Merck Sharp & Dohme,ARCOXIA,60 | 90,com rev,12/11/2012
Everolimo,Novartis Biociências,AFINITOR,"2,5 | 5 | 10mg",com,12/11/2012
Everolimo,Novartis Biociências,CERTICAN,"0,25 | 0,5 | 0,75 | 1,0 mg",com,21/01/2013
Exemestano,Pfizer,AROMASIN,25mg,drag,12/11/2012
exenatida,Eli Lilly,BYETTA,5 | 10 μg,sol inj,12/11/2012
Ezetimiba,Merck Sharp & Dohme,EZETROL,10mg,com rev,12/11/2012
fanciclovir,EMS,PENVIR,125 | 500 mg,com rev,13/03/2013
Felodipino,Astrazeneca,SPLENDIL,"2,5 | 5,0 | 10 mg",com lib prolong,12/11/2012
Fenazopiridina (cloridrato),Zodiac,PYRIDIUM,100 | 200 mg,drag,12/11/2012
Fenilbutazona cálcica,Boehringer Ingelheim,BUTAZONA CÁLCICA,200mg,com rev,12/11/2012
Fenitoína,Sanofi-Aventis,HIDANTAL,100mg,com,12/11/2012
Fenitoína sódica,Sanofi-Aventis,HIDANTAL,50mg/mL,sol inj,12/11/2012
Fenobarbital,Sanofi-Aventis,GARDENAL,40mg/mL,sol or,12/11/2012
Fenobarbital,Sanofi-Aventis,GARDENAL,200 mg/ml,sol inj,12/11/2012
Fenobarbital,Sanofi-Aventis,GARDENAL,50 | 100 mg,com,12/11/2012
Fenofibrato,Chiesi,LIPIDIL,200mg,cap dura,12/11/2012
Fenofibrato,Farmasa,LIPANON,250mg,cap + microgran,12/11/2012
Fenoterol (bromidrato),Boehringer Ingelheim,BEROTEC,"0,25 | 0,5 mg/mL",xpe,12/11/2012
Fenoterol (bromidrato),Boehringer Ingelheim,BEROTEC,"5,0 mg/mL",sol,12/11/2012
Fenoterol (bromidrato),Boehringer Ingelheim,BEROTEC,100 | 200 mcg/dose,sol aer inal or + espaç,12/11/2012
Fentanila,Janssen Cilag,DUROGESIC,"2,5 | 5,0 | 7,5 | 10mg",ades,12/11/2012
Fentanila,Janssen Cilag,DUROGESIC D-TRANS,"2,1 | 4,2 | 8,4/16,8 mg",ades,12/11/2012
Fentanila (citrato),Janssen Cilag,FENTANIL,50mcg/mL,sol inj,12/11/2012
Fenticonazol (nitrato),Aché,FENTIZOL,"0,02g/g",crem vag,12/11/2012
Fenticonazol (nitrato),Aché,FENTIZOL,600mg,ovul,12/11/2012
Fenticonazol (nitrato),Aché,FENTIZOL,20 mg/ml,sol derm,21/01/2013
Fexofenadina (cloridrato),Sanofi-Aventis,ALLEGRA,30 - 60 - 120 - 180 mg,com rev,12/11/2012
Fexofenadina (cloridrato),Sanofi-Aventis,ALLEGRA pediátrico,"6,0 mg/mL",sus or,12/11/2012
Finasterida,Merck Sharp & Dohme,PROPÉCIA,1 mg,com rev,12/11/2012
Finasterida,Merck Sharp & Dohme,PROSCAR,5 mg,com rev,12/11/2012
Fingolimode (cloridrato),Novartis Biociências,GILENYA,"0,5mg",cap dura,21/01/2013
Fluconazol,Pfizer,ZOLTEC,2mg/mL,sol inj infus iv,12/11/2012
Fluconazol,Pfizer,ZOLTEC,50 | 100 | 150 mg,cap dura,12/11/2012
Fludarabina (fosfato),Genzyme,FLUDARA,10mg,com rev,12/11/2012
Fludarabina (fosfato),Genzyme,FLUDARA,50mg,po liof sol inj,12/11/2012
Flumazenil,Roche,LANEXAT,"0,1mg/mL",sol inj,12/11/2012
Flunitrazepam,Roche,ROHYPNOL,1mg,com,12/11/2012
Fluormetolona (acetato),Alcon,FLORATE,1mg/mL,susp oft,12/11/2012
Fluoruracila,Eurofarma,FLUORURACILA gENÉRICO,25mg/mL,sol inj,12/11/2012
Fluoruracila,Accord,FLUORURACILA gENÉRICO,50mg/mL,sol inj,12/11/2012
Fluoxetina,Eli Lilly,PROZAC,20mg,cap dura,12/11/2012
Flurbiprofeno,Allergan,OCUFEN,"0,3mg/mL",sol oft,12/11/2012
Flutamida,Mantecorp,EULEXIN,250mg,com,12/11/2012
Fluticasona (furoato),Glaxosmithkline,AVAMYS,"27,5mcg/dose",spr nas,19/04/2013
Fluticasona (proprionato),Glaxosmithkline,FLIXOTIDE SPR,50 | 250 mcg/dose,sup aer inal or + inal,12/11/2012
Fluticasona (proprionato),Glaxosmithkline,FLIXOTIDE DISKUS,50 | 250 mcg/dose,inal po inal or,12/11/2012
Fluticasona (proprionato),Glaxosmithkline,FLIXONASE SPR NASAL AQUOSO,50mcg/dose,susp spr nas,12/11/2012
Flutrimazol,Biosintética,MICETAL,"0,01g/g",crem derm,12/11/2012
Flutrimazol,Biosintética,MICETAL,"0,01g/mL",sol top,12/11/2012
Fluvastatina,Novartis Biociências,LESCOL XL,80mg,com rev lib prolong,12/11/2012
Formoterol (fumarato),Novartis Biociências,FORADIL,12mcg,cap dura po inal or,12/11/2012
Fosamprenavir (cálcico),Glaxosmithkline,TELZIR,700mg,com revestido,30/04/2013
Fosamprenavir (cálcico),Glaxosmithkline,TELZIR,50mg/ml,sus oral,30/04/2013
Fotemustina,Servier,MUPHORAN,50mg/mL,po sol inj,12/11/2012
Fulvestranto,Astrazeneca,FASLODEX,50mg/mL,sol inj,12/11/2012
Furosemida,Sanofi-Aventis,LASIX,10mg/mL,sol inj,12/11/2012
Furosemida,Sanofi-Aventis,LASIX,40mg,com,12/11/2012
"Fusídico, ácido",Roche,VERUTEX,20mg/g,crem derm,12/11/2012
Gabapentina,Pfizer,NEURONTIN,300 | 400 mg,cap dura,12/11/2012
Gabapentina,Pfizer,NEURONTIN,600mg,com rev,12/11/2012
Gadopentetato dimegluminico,Schering do Brasil,MAGNEVISTAN,469mg/mL,sol inj,12/11/2012
Galantamina (hidrobrometo),Janssen Cilag,REMINYL,"4,0 | 8,0 | 12 mg",com rev,12/11/2012
Galantamina (hidrobrometo),Janssen Cilag,REMINYL ER,"8,0 | 16 | 24 mg",cap dura lib prol,12/11/2012
Ganciclovir sódico,Roche,CYMEVENE,500mg,po liof sol inj,12/11/2012
Gatifloxacino,Allergan,ZYMAR,3mg/mL,sol oft,12/11/2012
Gemifloxacino (mesilato),Aché,FACTIVE,320 mg,com,12/11/2012
Gencitabina (cloridrato),Eli Lilly,GEMZAR,"200 mg | 1,0 g",po liof sol inj,12/11/2012
Genfibrozila,Pfizer,LOPID,600 | 900 mg,com rev,12/11/2012
Gentamicina (sulfato),Mantecorp,GARAMICINA,1mg/g,crem derm,12/11/2012
Gentamicina (sulfato),Mantecorp,GARAMICINA,10 | 20 | 40 | 80 | 140,sol inj,12/11/2012
Gestrinona,Sanofi-Aventis,DIMETROSE,"2,5mg",cap,12/11/2012
Glibenclamina,Sanofi-Aventis,DAONIL,"5,0mg",com,12/11/2012
Gliclazida,Servier,DIAMICRON MR,30 | 60 mg,com lib modif,12/11/2012 e 21/01/2013
Glicosamina (sulfato),Zodiac,DINAFLEX,"1,5g",po sol or,12/11/2012
Glimepirida,Sanofi-Aventis,AMARYL,"1,0 | 2,0 | 3,0 | 4,0 | 6,0",com,12/11/2012
Glipizida,Pfizer,MINIDIAB,5mg,com,12/11/2012
Gosserrelina (acetato),Astrazeneca,ZOLADEX,"3,6mg",depot,12/11/2012
Gosserrelina (acetato),Astrazeneca,ZOLADEX LA,"10,8mg",depot,12/11/2012
Granisetrona (cloridrato),Roche,KYTRIL,1mg,com rev,12/11/2012
Granisetrona (cloridrato),Roche,KYTRIL,1mg/mL,sol inj,12/11/2012
Griseofulvina,Astrazeneca,FULCIN,500 mg,com,12/11/2012
Griseofulvina ultrafina,Mantecorp,SPOROSTATIN,500 mg,com,12/11/2012
Guaifenesina,Aché,TRANSPULMIN XAROPE ADULTO,"13,3mg/ml",xpe,16/05/2013
Guaifenesina,Aché,TRANSPULMIN XAROPE INFANTIL,"6,667mg/mL",xpe,12/11/2012
Guaifenesina,Neo Quimica,GUAIFENESINA GENERICO,16mg/ml,xpe,16/05/2013
Haloperidol,Janssen Cilag,HALDOL,2mg/mL,sol or,12/11/2012
Haloperidol,Janssen Cilag,HALDOL,"1,0 | 5,0 mg",com,12/11/2012
Haloperidol,Janssen Cilag,HALDOL,"5,0mg/mL",sol inj,12/11/2012
Haloperidol (decanoato),Janssen Cilag,HALDOL DECANOATO,50 mg/mL,sol inj,12/11/2012
Hidralazina (cloridrato),Novartis Biociências,APRESOLINA,25 | 50 mg,drag,12/11/2012
Hidroclorotiazida,Sanofi-Aventis,CLORANA,25 | 50 mg,com,12/11/2012
Hidrocortisona (acetato),Intendis,BERLISON,10mg/g,crem derm,12/11/2012
Hidrocortisona (acetato),Intendis,BERLISON,10mg/g,pom derm,12/11/2012
Hidrocortisona (butirato),Eurofarma,LOCOID,1mg/g,crem,12/11/2012
Hidrocortisona (butirato),Eurofarma,LOCOID,1mg/g,emul,12/11/2012
Hidroquinona,Stiefel,CLARIPEL,40mg/g,crem derm,12/11/2012
Hidroquinona,Stiefel,CLARIPEL ACQUAGEL,40mg/g,gel dermat,12/11/2012
Hidroxicloroquina (sulfato),Sanofi-Aventis,PLAQUINOL,400mg,com rev,12/11/2012
Hidroxiuréia,Bristol Myers Squibb,HYDREA,500mg,cap dura,12/11/2012
"Ibandrônico, ácido",Roche,BONVIVA,150mg,com rev,12/11/2012
"Ibandrônico, ácido",Roche,BONVIVA,1mg/ml,sol inj,12/11/2012
Ibuprofeno arginina,Zambon,SPIDUFEN,1155mg,gran,12/11/2012
Ibuprofeno arginina,Zambon,SPIDUFEN,770mg,gran,12/11/2012
Ibuprofeno,Wyeth,ADVIL,400 mg,caps gel mole,08/03/2013
Ibuprofeno,Wyeth,ADVIL,200 mg,comp revestido,08/03/2013
Ibuprofeno,Relthy Laboratórios Ltda,CAPSFEN,600mg,cap mole,12/11/2012
Ibuprofeno,Pfizer,MOTRIM,600mg,com rev,12/11/2012
Ibuprofeno,Mantecorp,ALIVIUM,30 | 50mg/mL,susp or,12/11/2012
Ibuprofeno,Mantecorp,ALIVIUM,100mg/mL,susp or,12/11/2012
Idarrubicina (cloridrato),Pfizer,ZAVEDOS,"5,0 - 10 mg",po liof sol inj,12/11/2012
Idarrubicina (cloridrato),Pfizer,ZAVEDOS,"5,0 - 10 mg",po liof sol inj,12/11/2012
Imatinib (mesilato),Novartis Biociências,GLIVEC,100 - 400 mg,com rev,12/11/2012
Imipramina (cloridrato),Novartis Biociências,TOFRANIL,10 - 25 mg,drag,12/11/2012
imipramina (pamoato),Novartis Biociências,TOFRANIL PAMOATO,"112,5-225mg",cap dura,12/11/2012
Imiquimod,Intendis,ALDARA,50mg/g,crem derm,12/11/2012
Indacaterol (maleato),Novartis Biociências,ONBRIZE,150 | 300mcg,cap dura po inal or,30/04/2013
Indapamida,Servier,NATRILIX,"2,5mg",drag,12/11/2012
Indapamida,Servier,NATRILIX SR,"1,5mg",com rev,12/11/2012
Indinavir (sulfato),Merck Sharp & Dohme,CRIXIVAN,200 | 400 mg,cap dura,12/11/2012
Indometacina,Merck Sharp & Dohme,INDOCID,100mg,sups retal,12/11/2012
Indometacina,Merck Sharp & Dohme,INDOCID,25 | 50 mg,cap dura,12/11/2012
Iodixanol,GE Healthcare,VISIPAQUE,550 | 650 mg/ml,sol inj,31/01/2013
ipatrópio (brometo),Boehringer Ingelheim,ATROVENT N,20 mcg/dose,sol aer inal or,12/11/2012
ipatrópio (brometo),Boehringer Ingelheim,ATROVENT,"0,25mg/mL",sol inal,12/11/2012
Irbesartana,Sanofi-Aventis,APROVEL,150 | 300 mg,com,12/11/2012
Cloridrato de irinotecano triidratado,Pfizer,CAMPTOSAR,20mg/mL,sol inj,12/11/2012
Isoconazol (nitrato),Aché,FENTIZOL,"0,02g/g",crem vag,12/11/2012
Isoconazol (nitrato),Schering do Brasil,GYNO-ICADEN,10mg/g,crem vag,12/11/2012
Isoconazol (nitrato),Schering do Brasil,GYNO-ICADEN,600mg,ovul,12/11/2012
Isoconazol(nitrato),Schering do Brasil,ICADEN,10mg/g,crem derm,12/11/2012
Isoconazol(nitrato),Schering do Brasil,ICADEN,10mg/mL,sol top,12/11/2012
isoconazol,Schering do Brasil,ICADEN,10mg/ml,spr,12/11/2012
Isoflurano,Biochimico,Genérico,1ml/mL,sol inal,13/03/2013
Isotretinoína,Roche,ROACUTAN,10 | 20 mg,cap mole,12/11/2012
Isotretinoína,Stiefel,ISOTREX,"0,5mg/g",gel,12/11/2012
Isotretinoína,Stiefel,"","0,5mg/g",crem derm,12/11/2012
Itraconazol,Janssen Cilag,SPORANOX,100mg,cap dura,12/11/2012
Ivabradina (cloridrato),Servier,PROCORALAN,"5 | 7,5 mg",com revestido,10/05/2013
Ivermectina,Solvay Farma,REVECTINA,"6,0mg",com,12/11/2012
Lacidipino,Glaxosmithkline,LACIPIL,4mg,com rev,12/11/2012
Lacitol monoidratado,EMS,SIGMALAC,667mg/mL,sol or,21/01/2013
Lacosamida,VIMPAT,MEIZLER,50mg,com revestido,17/03/2014
Lacosamida,VIMPAT,MEIZLER,100mg,com revestido,17/03/2014
Lacosamida,VIMPAT,MEIZLER,150mg,com revestido,17/03/2014
Lacosamida,VIMPAT,MEIZLER,200mg,com revestido,17/03/2014
Lacosamida,VIMPAT,MEIZLER,10mg/ml,sol oral,17/03/2014
Lacosamida,VIMPAT,MEIZLER,10mg/ml,sol inj,17/03/2014
Lactulose,Sankyo Pharma,LACTULONA,667mg/mL,xpe,12/11/2012
Lamivudina,Glaxosmithkline,EPIVIR,10mg/mL,sol or,12/11/2012
Lamivudina,Glaxosmithkline,EPIVIR,150mg,com rev,12/11/2012
Lamotrigina,Glaxosmithkline,LAMICTAL,25 | 50 | 100 mg,com,12/11/2012
Lamotrigina,Glaxosmithkline,LAMICTAL,"5,0 | 25 | 50 | 100 | 200",com disp,12/11/2012
Lapatinibe (ditosilato),Glaxosmithkline,TYKERB,250mg,com revestido,06/06/2013
Latanoprost,Pfizer,XALATAN,50mcg/mL,sol oft,12/11/2012
Leflunomida,Sanofi-Aventis,ARAVA,20 | 100 mg,com rev,12/11/2012
Lercanidipino (cloridrato),Medley,ZANIDIP,10  | 20mg,comp rev,21/01/2013
Letrozol,Novartis Biociências,FEMARA,"2,5mg",com rev,12/11/2012
Levamisol (cloridrato),Janssen Cilag,ASCARIDIL,80mg,com,12/11/2012
Levamisol (cloridrato),Janssen Cilag,ASCARIDIL,150mg,com,12/11/2012
Levanlodipino (besiltato),Biolab Sanus,NOVANLO,"3,45mg",com,23/07/2013
Levanlodipino (besiltato),Biolab Sanus,NOVANLO,"6,9mg",com,23/07/2013
Levobunolol (cloridrato),Allergan,BETAGAN,5mg/mL,sol oft,12/11/2012
Levocetirizina (dicloridrato),Farmalab,ZYXEM,"5,0mg",com rev,12/11/2012
Levofloxacino (triidratado),Eurofarma,GENERICO,5mg/ml,sol inj,12/11/2012
Levofloxacino (hemiidratado),Janssen Cilag,LEVAQUIN,500mg,com revestido,12/11/2012
Levofloxacino (hemiidratado),Janssen Cilag,LEVAQUIN,5mg/ml,sol inj infus diluida glicose bolsa,12/11/2012
Levopromazina (cloridrato),Sanofi-Aventis,NEOZINE,40mg/ml,sol or,12/11/2012
Levopromazina (cloridrato),Sanofi-Aventis,NEOZINE,5mg/ml,sol inj,12/11/2012
Levomepromazina (maleato),Sanofi-Aventis,NEOZINE,25mg,com rev,12/11/2012
Levomepromazina (maleato),Sanofi-Aventis,NEOZINE,100mg,com rev,12/11/2012
Levonorgestrel,Aché,POSTINOR / POSTINOR UNO,"0,75 mg / 1,5mg",com,12/11/2012
Levonorgestrel,Schering do Brasil,MIRENA,52mg,sistema intrauterino,12/11/2013
Levosimendana,Abbott,SIMDAX,"2,5mg/ml",sol inj,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T4,25mcg,com,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T5,50mcg,com,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T6,75mcg,com,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T7,88mcg,com,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T8,100mcg,com,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T9,112mcg,com,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T10,125mcg,com,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T11,150mcg,com,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T12,175mcg,com,12/11/2012
Levotiroxina sódica,Sanofi-Aventis,PURAN T13,200mcg,com,12/11/2012
Levotiroxina sódica,Abbott,SYNTROID,137mg,com,12/11/2012
Lisdexanfetamina (dimesilato),Shire,VENVANSE,30mg,com,23/07/2013
Lisdexanfetamina (dimesilato),Shire,VENVANSE,50mg,com,23/07/2013
Lisdexanfetamina (dimesilato),Shire,VENVANSE,70mg,com,23/07/2013
Lidocaína base,Astrazeneca,XYLOCAÍNA pom,50mg/g,pom derm,12/11/2012
Lidocaína base,Biosintética,DERMOMAX,40mg/g,crem derm,12/11/2012
Lidocaína base,Cristália,XYLESTESIN,100mg/ml,sol top,15/04/2013
Lidocaína (cloridrato),Astrazeneca,XYLOCAÍNA GELÉIA,20mg/mL,geléia top,12/11/2012
Limeciclina,Galderma,TETRALYSAL,150 | 300 mg,cap dura,12/11/2012
Linagliptina,Boehringer Ingelheim,TRAYENTA,5 mg,com revestido,22/04/2013
Lincomicina (cloridrato),Pfizer,FRADEMICINA,300mg/mL,sol inj,12/11/2012
Lincomicina (cloridrato),Pfizer,FRADEMICINA,300mg/mL,sol inj,12/11/2012
Linestrenol,Schering Plough,EXLUTON,"0,5mg",com,12/11/2012
Linezolida,Pfizer,ZYVOX,20mg/mL,gran susp or,12/11/2012
Linezolida,Pfizer,ZYVOX,2mg/mL,sol infus endovenosa,12/11/2012
Linezolida,Pfizer,ZYVOX,400 | 600 mg,com rev,12/11/2012
Lisinopril,Astrazeneca,ZESTRIL,"5,0 | 10 | 20 mg",com,12/11/2012
Lítio (carbonato),Eurofarma,CARBOLITIUM,300mg,com,12/11/2012
Lítio (carbonato),Eurofarma,CARBOLITIUM CR,450mg,com ação prolong,12/11/2012
Loperamida (cloridrato),Janssen Cilag,IMOSEC,2mg,com,12/11/2012
Loratadina,Mantecorp,CLARITIN,10mg,com,12/11/2012
Loratadina,Mantecorp,CLARITIN,1 mg/ml,sol or,21/01/2013
Loratadina,Mantecorp,CLARITIN,1mg/mL,xpe,12/11/2012
Lorazepam,Wyeth,LORAX,"1,0 | 2,0 mg",com,12/11/2012
Losartana potássica,Merck Sharp & Dohme,COZAAR,"12,5 | 50 | 100mg",com rev,12/11/2012
Loteprednol (etabonato),Baush  & Lomb,LOTEPROL,5mg/ml,susp oft,12/11/2012
Loteprednol (etabonato),Baush  & Lomb,ALREX,2mg/ml,susp oft,12/11/2012
Lovastatina,Sandoz,lovastatina,10 | 20 | 40 mg,comp,07/06/2013
Macrogol 3350,Schering Plough,HARMOLAX,17 g,po prep extemp,21/01/2013
Magaldrato,Nycomed,RIOPAN,800mg,com mast,12/11/2012
Magaldrato,Nycomed,RIOPAN,80mg/mL,susp or,12/11/2012
malato de sunitibe,Pfizer,malato de sunitibe,"12,5mg | 25mg | 37,5mg |",cap,12/11/2012
maleato de fluvoxamina,Abbott,LUVOX,50 | 100 mg,com,12/11/2012
manidipino (dicloridrato),Chiesi,MANIVASC,10 | 20 mg,com,12/11/2012
Maraviroque,Glaxosmithkline,CELSENTRI,150 | 300mg,com revestido,30/04/2013
Mebendazol,Janssen Cilag,PANTELMIN,500mg,com,12/11/2012
Mebendazol,Janssen Cilag,PANTELMIN,20mg/mL,susp or,12/11/2012
Mebeverina (cloridrato),Solvay Farma,DUSPATALIN,200mg,cap lib prol,12/11/2012
Meclizina (cloridrato),Apsen,MECLIN,"12,5 | 25 | 50mg",com,12/11/2012
Medroxiprogesterona (acetato),Pfizer,DEPO-PROVERA,50 | 150 mg/mL,susp inj,12/11/2012
Medroxiprogesterona (acetato),Pfizer,PROVERA,"2,5 | 5,0 | 10 mg",com,12/11/2012
"Mefenâmico, ácido",Pfizer,PONSTAN,500mg,com,12/11/2012
Melfalana,Glaxosmithkline,ALKERAN,2 mg,com rev,12/11/2012
Melfalana,Glaxosmithkline,ALKERAN,50mg,po liof sol inj,12/11/2012
Megestrol (acetato),Bristol Myers Squibb,MEGESTAT,160 mg,com,12/11/2012
Meglumina (antimoniato),Sanofi-Aventis,GLUCANTIME,300mg/mL,sol inj,12/11/2012
Meloxicam,Boehringer Ingelheim,MOVATEC,10mg/mL,sol inj,12/11/2012
Meloxicam,Boehringer Ingelheim,MOVATEC,"7,5 | 15 mg",com,12/11/2012
Memantina (cloridrato),Lundbeck,EBIX,10mg,com rev,12/11/2012
Mercaptopurina,Aspen,PURINETHOL,50mg,com,12/11/2012
"",Astrazeneca,MERONEM IV,500 | 1000 mg,po sol inj,12/11/2012
"",Eurofarma,MEROMAX,"2,0 g",po sol inj,12/11/2012
Mesalazina,Nycomed,MESACOL,500mg,sups,12/11/2012
Mesalazina,Nycomed,MESACOL,800mg,com rev,12/11/2012
Mesalazina,Ferring,PENTASA,1000mg,sups retal,12/11/2012
Mesalazina,Ferring,PENTASA,500mg,com lib prol,12/11/2012
Mesalazina,Ferring,PENTASA ENEMA,10mg/mL,emul ret,12/11/2012
Mesalazina,Merck S/A,ASALIT,250mg,sups,12/11/2012
Mesalazina,Merck S/A,ASALIT,"3,0 g",emul ret (po + diluente),12/11/2012
Mesalazina,Brainfarma,GENERICO,400mg,com revestido,02/08/2013
Metformina (cloridrato),Merck S/A,GLIFAGE,500 | 850 | 1000 mg,com revestido,12/11/2012
Metformina (cloridrato),Merck S/A,GLIFAGE XR,750  |500 | 1000 mg,com lib prol,12/11/2012
Metildopa,Aspen Pharma,ALDOMET,250 | 500 mg,com rev,12/11/2012
Metilergotamina (maletato),Novartis Biociências,METHERGIN,"0,125mg",drag,12/11/2012
Metilergotamina (maletato),Novartis Biociências,METHERGIN,"0,2mg/mL",sol inj,12/11/2012
Metilfenidato (cloridrato),Novartis Biociências,RITALINA,10mg,com,12/11/2012
Metilfenidato (cloridrato),Novartis Biociências,RITALINA LA,10 | 20 | 30 | 40 mg,cap dura  lib prol,12/11/2012
Metilfenidato (cloridrato),Janssen Cilag,CONCERTA,18 | 36 | 54 mg,com rev lib prol,12/11/2012
Metilnaltrexona (brometo),Wyeth,RELISTOR,20 mg/mL,sol inj,12/11/2012
Metilprednisolona (aceponato),Intendis,ADVANTAN,1mg/g,loç derm,12/11/2012
Metilprednisolona (aceponato),Intendis,ADVANTAN,1mg/g,crem derm,12/11/2012
Metilprednisolona (acetato),Pfizer,DEPO MEDROL,40mg/mL,susp inj,12/11/2012
Metilprednisolona (succinato sódico),Pfizer,SOLU-MEDROL,40 | 125 | 500 | 1000 mg,po liof sol inj,12/11/2012
Metoclopramida (cloridrato),Sanofi-Aventis,PLASIL,10mg,com,12/11/2012
Metoclopramida (cloridrato),Sanofi-Aventis,PLASIL,1mg/mL,sol or,12/11/2012
Metoclopramida (cloridrato),Sanofi-Aventis,PLASIL,4mg/mL,sol or (gotas),12/11/2012
Metoclopramida (cloridrato),Sanofi-Aventis,PLASIL,"5,0mg/mL",sol inj,12/11/2012
Metoprolol (succinato),Astrazeneca,SELOZOK,25 | 50 | 100 mg,com lib control,12/11/2012
Metoprolol (tartarato),Novartis Biociências,LOPRESSOR,100mg,com rev,12/11/2012
Metoprolol (tartarato),AstraZeneca,SELOKEN,100 | 200 mg,com,12/11/2012
Metoprolol (tartarato),AstraZeneca,SELOKEN,"1,0 mg/mL",sol inj,12/11/2012
Metronidazol,Sanofi-Aventis,FLAGYL,250 | 400mg,com rev,12/11/2012
Metronidazol,Sanofi-Aventis,FLAGYL,"5,0mg/mL",sol inj,12/11/2012
Metronidazol,Sanofi-Aventis,FLAGYL GINECOLÓGICO,100mg/g,geleia vag,12/11/2012
Metronidazol,Galderma,ROSEX,"7,5mg/g",gel,06/06/2013
Mofetila (micofenolato),Roche,CELLCEPT,500mg,com rev,12/11/2012
Micafungina sódica,Astellas,MYCAMINE,100mg,pó liof sol inj,17/03/2014
Micofenolato sódico,Novartis Biociências,MYFORTIC,180 | 360 mg,com rev,12/11/2012
Miconazol,Janssen Cilag,DAKTARIN GEL ORAL,20mg/ml,gel or,12/11/2012
Miconazol (nitrato),Brainfarma,DAKTAZOL,20mg/ml,loç cremosa,07/10/2013
Miconazol (nitrato),Teuto,GENÉRICO,20mg/g,creme vaginal,17/03/2014
Midazolam,Roche,DORMONID,"1,0 | 5,0 mg/mL",sol inj,12/11/2012
Midazolam (maleato),Roche,DORMONID,"7,5 | 15 mg",com rev,12/11/2012
Miglustate,Actelion,ZAVESCA,100mg,cap gel dura,17/03/2014
Milrinona (lactato),Sanofi-Aventis,PRimACOR,1mg/mL,sol inj,12/11/2012
Minociclina (cloridrato),Ranbaxy,GENÉRICO,100mg,com revestido,30/04/2013
Minoxidil,Pfizer,LONITEN,10mg,com,12/11/2012
Minoxidil,Theraskin,ALOXIDIL,50 mg/mL,sol capilar,25/03/2013
Mirtazapina,Organon,REMERON SOLTAB,15 | 30 | 45mg,com orodisp,12/11/2012
Mirtazapina,Sandoz,mirtazapina,30 | 45mg,com rev,12/11/2012
Mitomicina C,Bristol Myers Squibb,MITOCIN,"0,5mg/mL",po liof sol inj,12/11/2012
Mitotano,Bristol Myers Squibb,LISODREN,500mg,com rev,12/11/2012
Moclobemida,Roche,AURORIX,150mg,com rev,12/11/2012
Moclobemida,Roche,AURORIX,300mg,com rev,12/11/2012
Modafinila,Libbs,STAVIGILE,200mg,com,12/11/2012
Mometasona (furoato),Mantecorp,OXIMAX,200 | 400 mcg,cap dura po inal or + inal,12/11/2012
Mometasona (furoato),Mantecorp,ELOCOM,1mg/g,crem derm,12/11/2012
Mometasona (furoato),Mantecorp,ELOCOM,1mg/g,pom derm,12/11/2012
Mometasona (furoato),Schering Plough,NASONEX,"0,5mcg/dose",sus spr nas,12/11/2012
Monoetanolamina (oleato),Zest,ETHAMOLIN,50mg/mL,sol inj,12/11/2012
Montelucaste sódico,Merck Sharp & Dohme,SINGULAIR,10mg,com rev,12/11/2012
Montelucaste sódico,Merck Sharp & Dohme,SINGULAIR,"4,0 | 5,0 mg",com mast,12/11/2012
Montelucaste sódico,Merck Sharp & Dohme,SINGULAIR BABY,4mg,gran,12/11/2012
Moxifloxacino (cloridrato),Alcon,VIGAMOX,5mg/mL,sol oft,12/11/2012
Moxifloxacino (cloridrato),Bayer,AVALOX,"1,6mg/mL",sol infus endovenosa,12/11/2012
Moxifloxacino (cloridrato),Bayer,AVALOX,400mg,com rev,12/11/2012
Mupirocina,Glaxosmithkline,BACTROBAN,20mg/g,pom derm,12/11/2012
Nalbufina (cloridrato),Cristália,NUBAIN,10mg/mL,sol inj,13/03/2013
Naproxeno,Bayer,NAPROSYN,250 | 500 mg,com,12/11/2012
Naproxeno sódico,Roche,FLANAX,275 | 550 mg,com rev,12/11/2012
Nebivolol (cloridrato),Biolab Sanus,NEBILET,"5,0 mg",com,12/11/2012
Nelfinavir (mesilato),Roche,VIRACEPT,250mg,com,12/11/2012
Neostigmina (metilsulfato),Valeant,PROSTIGMINE,"0,5mg/mL",sol inj,12/11/2012
Nepafenaco,Alcon,NEVANAC,1mg/ml,sus oft,14/02/2013
